student_id,feedback
410,The exam was fair and well structured
411,Overall good experience
412,Average experience
413,Not happy with difficulty level
414,Excellent exam pattern
415,Paper was moderate
416,Very satisfied with the exam
417,Time was insufficient
418,Excellent exam pattern
419,Very satisfied with the exam
420,Very satisfied with the exam
421,Paper was moderate
422,Not happy with difficulty level
423,The exam was fair and well structured
424,Poor time management required
425,Very satisfied with the exam
426,Paper was moderate
427,Not happy with difficulty level
428,Poor time management required
429,Very satisfied with the exam
430,Excellent exam pattern
431,The exam was fair and well structured
432,Poor time management required
433,The exam was fair and well structured
434,Poor time management required
435,Average experience
436,Overall good experience
437,Very satisfied with the exam
438,Paper was moderate
439,Excellent exam pattern
440,Time was insufficient
441,Time was insufficient
442,Poor time management required
443,Excellent exam pattern
444,Excellent exam pattern
445,Very satisfied with the exam
446,The exam was fair and well structured
447,Paper was moderate
448,Paper was moderate
449,Paper was moderate
450,Average experience
451,Excellent exam pattern
452,Average experience
453,Time was insufficient
454,Paper was moderate
455,Excellent exam pattern
456,Average experience
457,Very satisfied with the exam
458,Overall good experience
459,Average experience
460,Paper was moderate
461,Very satisfied with the exam
462,Paper was moderate
463,Time was insufficient
464,Paper was moderate
465,Average experience
466,Overall good experience
467,Very satisfied with the exam
468,Very satisfied with the exam
469,Very satisfied with the exam
470,Very satisfied with the exam
471,Poor time management required
472,Poor time management required
473,Not happy with difficulty level
474,The exam was fair and well structured
475,Time was insufficient
476,Questions were too difficult
477,Questions were too difficult
478,Questions were too difficult
479,Poor time management required
480,Excellent exam pattern
481,Very satisfied with the exam
482,Overall good experience
483,Overall good experience
484,Questions were too difficult
485,Paper was moderate
486,Time was insufficient
487,Very satisfied with the exam
488,Very satisfied with the exam
489,The exam was fair and well structured
490,Poor time management required
491,Poor time management required
492,Poor time management required
493,Paper was moderate
494,The exam was fair and well structured
495,Paper was moderate
496,Excellent exam pattern
497,Poor time management required
498,Paper was moderate
499,Paper was moderate
500,Poor time management required
501,Not happy with difficulty level
502,Paper was moderate
503,Very satisfied with the exam
504,Very satisfied with the exam
505,The exam was fair and well structured
506,Poor time management required
507,Time was insufficient
508,Time was insufficient
509,Poor time management required
510,Overall good experience
511,Paper was moderate
512,Very satisfied with the exam
513,Excellent exam pattern
514,Average experience
515,Very satisfied with the exam
516,Poor time management required
517,The exam was fair and well structured
518,Time was insufficient
519,Average experience
520,Very satisfied with the exam
521,Average experience
522,The exam was fair and well structured
523,Questions were too difficult
524,The exam was fair and well structured
525,Average experience
526,Excellent exam pattern
527,Very satisfied with the exam
528,Questions were too difficult
529,Poor time management required
530,Poor time management required
531,Average experience
532,Paper was moderate
533,Overall good experience
534,Not happy with difficulty level
535,Poor time management required
536,Paper was moderate
537,The exam was fair and well structured
538,Poor time management required
539,Overall good experience
540,Average experience
541,Very satisfied with the exam
542,Paper was moderate
543,Paper was moderate
544,Very satisfied with the exam
545,Average experience
546,Average experience
547,Average experience
548,Not happy with difficulty level
549,Time was insufficient
550,Paper was moderate
551,Very satisfied with the exam
552,Overall good experience
553,Not happy with difficulty level
554,Very satisfied with the exam
555,Average experience
556,Questions were too difficult
557,Paper was moderate
558,The exam was fair and well structured
559,Poor time management required
560,Poor time management required
561,Average experience
562,Overall good experience
563,Questions were too difficult
564,Excellent exam pattern
565,Very satisfied with the exam
566,Questions were too difficult
567,Very satisfied with the exam
568,Not happy with difficulty level
569,Time was insufficient
570,Very satisfied with the exam
571,Questions were too difficult
572,Very satisfied with the exam
573,Time was insufficient
574,Questions were too difficult
575,Questions were too difficult
576,Very satisfied with the exam
577,Very satisfied with the exam
578,Very satisfied with the exam
579,Overall good experience
580,Poor time management required
581,Questions were too difficult
582,Questions were too difficult
583,Paper was moderate
584,Poor time management required
585,Very satisfied with the exam
586,Overall good experience
587,Average experience
588,Not happy with difficulty level
589,Average experience
590,Average experience
591,The exam was fair and well structured
592,Paper was moderate
593,Paper was moderate
594,Poor time management required
595,Time was insufficient
596,Very satisfied with the exam
597,Excellent exam pattern
598,Poor time management required
599,Average experience
600,Not happy with difficulty level
601,Overall good experience
602,Very satisfied with the exam
603,Average experience
604,Overall good experience
605,Average experience
606,Overall good experience
607,Overall good experience
608,Paper was moderate
609,Poor time management required
610,Overall good experience
611,Questions were too difficult
612,The exam was fair and well structured
613,Very satisfied with the exam
614,Questions were too difficult
615,Average experience
616,The exam was fair and well structured
617,Average experience
618,Poor time management required
619,Average experience
620,Not happy with difficulty level
621,Average experience
622,Not happy with difficulty level
623,Questions were too difficult
624,Time was insufficient
625,Overall good experience
626,Paper was moderate
627,The exam was fair and well structured
628,Poor time management required
629,Time was insufficient
630,Poor time management required
631,Not happy with difficulty level
632,Not happy with difficulty level
633,Paper was moderate
634,Excellent exam pattern
635,Time was insufficient
636,Very satisfied with the exam
637,Time was insufficient
638,Overall good experience
639,Poor time management required
640,Very satisfied with the exam
641,Very satisfied with the exam
642,Paper was moderate
643,Very satisfied with the exam
644,Very satisfied with the exam
645,Very satisfied with the exam
646,Overall good experience
647,Paper was moderate
648,Overall good experience
649,Time was insufficient
650,Very satisfied with the exam
651,Questions were too difficult
652,Questions were too difficult
653,The exam was fair and well structured
654,The exam was fair and well structured
655,The exam was fair and well structured
656,Not happy with difficulty level
657,Very satisfied with the exam
658,Excellent exam pattern
659,Overall good experience
660,Overall good experience
661,Overall good experience
662,Questions were too difficult
663,Average experience
664,Not happy with difficulty level
665,Average experience
666,Time was insufficient
667,Overall good experience
668,Paper was moderate
669,Not happy with difficulty level
670,Excellent exam pattern
671,Not happy with difficulty level
672,Very satisfied with the exam
673,Excellent exam pattern
674,Not happy with difficulty level
675,Time was insufficient
676,Poor time management required
677,Questions were too difficult
678,Questions were too difficult
679,Not happy with difficulty level
680,Excellent exam pattern
681,Very satisfied with the exam
682,Poor time management required
683,Excellent exam pattern
684,Excellent exam pattern
685,Very satisfied with the exam
686,Very satisfied with the exam
687,Average experience
688,Average experience
689,Paper was moderate
690,Not happy with difficulty level
691,Not happy with difficulty level
692,Poor time management required
693,Overall good experience
694,The exam was fair and well structured
695,The exam was fair and well structured
696,Paper was moderate
697,Poor time management required
698,Average experience
699,Poor time management required
700,The exam was fair and well structured
701,Not happy with difficulty level
702,Paper was moderate
703,Time was insufficient
704,Paper was moderate
705,Overall good experience
706,Very satisfied with the exam
707,Overall good experience
708,Overall good experience
709,Overall good experience
710,Questions were too difficult
711,Time was insufficient
712,Excellent exam pattern
713,Time was insufficient
714,Average experience
715,The exam was fair and well structured
716,Poor time management required
717,Time was insufficient
718,Paper was moderate
719,Average experience
720,The exam was fair and well structured
721,Paper was moderate
722,Paper was moderate
723,Average experience
724,Average experience
725,Average experience
726,Excellent exam pattern
727,Overall good experience
728,Questions were too difficult
729,Questions were too difficult
730,Paper was moderate
731,Very satisfied with the exam
732,Questions were too difficult
733,The exam was fair and well structured
734,Questions were too difficult
735,Very satisfied with the exam
736,Poor time management required
737,Time was insufficient
738,Average experience
739,The exam was fair and well structured
740,Time was insufficient
741,Paper was moderate
742,Paper was moderate
743,Time was insufficient
744,Questions were too difficult
745,Excellent exam pattern
746,The exam was fair and well structured
747,Paper was moderate
748,Time was insufficient
749,The exam was fair and well structured
750,Paper was moderate
751,Excellent exam pattern
752,Paper was moderate
753,Average experience
754,Average experience
755,Paper was moderate
756,Overall good experience
757,Questions were too difficult
758,Time was insufficient
759,Excellent exam pattern
760,Overall good experience
761,Very satisfied with the exam
762,Overall good experience
763,Excellent exam pattern
764,Average experience
765,Poor time management required
766,Not happy with difficulty level
767,Very satisfied with the exam
768,Excellent exam pattern
769,Paper was moderate
770,Time was insufficient
771,Paper was moderate
772,The exam was fair and well structured
773,Paper was moderate
774,Paper was moderate
775,Overall good experience
776,Average experience
777,Average experience
778,Poor time management required
779,Not happy with difficulty level
780,Poor time management required
781,Overall good experience
782,Very satisfied with the exam
783,Excellent exam pattern
784,Not happy with difficulty level
785,Not happy with difficulty level
786,Poor time management required
787,Not happy with difficulty level
788,Excellent exam pattern
789,Excellent exam pattern
790,Excellent exam pattern
791,Time was insufficient
792,Overall good experience
793,Average experience
794,Questions were too difficult
795,Overall good experience
796,Poor time management required
797,Not happy with difficulty level
798,Not happy with difficulty level
799,Excellent exam pattern
800,The exam was fair and well structured
801,Not happy with difficulty level
802,The exam was fair and well structured
803,The exam was fair and well structured
804,Overall good experience
805,The exam was fair and well structured
806,Overall good experience
807,Very satisfied with the exam
808,Paper was moderate
809,Overall good experience
810,Excellent exam pattern
811,Average experience
812,Average experience
813,The exam was fair and well structured
814,Overall good experience
815,Time was insufficient
816,Excellent exam pattern
817,Average experience
818,Overall good experience
819,Excellent exam pattern
820,Time was insufficient
821,Poor time management required
822,Poor time management required
823,Time was insufficient
824,Average experience
825,The exam was fair and well structured
826,Overall good experience
827,Not happy with difficulty level
828,Paper was moderate
829,Overall good experience
830,Excellent exam pattern
831,Very satisfied with the exam
832,Questions were too difficult
833,Time was insufficient
834,Paper was moderate
835,Time was insufficient
836,The exam was fair and well structured
837,Poor time management required
838,Average experience
839,Average experience
840,Questions were too difficult
841,Paper was moderate
842,Overall good experience
843,Average experience
844,Paper was moderate
845,Average experience
846,Average experience
847,Time was insufficient
848,Excellent exam pattern
849,Paper was moderate
850,Paper was moderate
851,Not happy with difficulty level
852,Paper was moderate
853,Very satisfied with the exam
854,Time was insufficient
855,Time was insufficient
856,Overall good experience
857,Paper was moderate
858,Average experience
859,Average experience
860,Very satisfied with the exam
861,The exam was fair and well structured
862,The exam was fair and well structured
863,Time was insufficient
864,Questions were too difficult
865,Questions were too difficult
866,Time was insufficient
867,The exam was fair and well structured
868,Overall good experience
869,Excellent exam pattern
870,Poor time management required
871,Questions were too difficult
872,Overall good experience
873,Paper was moderate
874,Very satisfied with the exam
875,Poor time management required
876,Average experience
877,Paper was moderate
878,Questions were too difficult
879,Questions were too difficult
880,Very satisfied with the exam
881,Paper was moderate
882,Paper was moderate
883,Paper was moderate
884,Paper was moderate
885,Questions were too difficult
886,The exam was fair and well structured
887,Paper was moderate
888,Very satisfied with the exam
889,Paper was moderate
890,Time was insufficient
891,Paper was moderate
892,Average experience
893,Time was insufficient
894,Very satisfied with the exam
895,Not happy with difficulty level
896,The exam was fair and well structured
897,Excellent exam pattern
898,Questions were too difficult
899,Paper was moderate
900,Overall good experience
901,The exam was fair and well structured
902,Average experience
903,Overall good experience
904,Poor time management required
905,Questions were too difficult
906,Poor time management required
907,The exam was fair and well structured
908,Not happy with difficulty level
909,Paper was moderate
910,Not happy with difficulty level
911,Excellent exam pattern
912,Very satisfied with the exam
913,Time was insufficient
914,Average experience
915,The exam was fair and well structured
916,Poor time management required
917,Very satisfied with the exam
918,Not happy with difficulty level
919,The exam was fair and well structured
920,Time was insufficient
921,Poor time management required
922,Excellent exam pattern
923,Average experience
924,Time was insufficient
925,Time was insufficient
926,Very satisfied with the exam
927,Time was insufficient
928,Time was insufficient
929,Not happy with difficulty level
930,Questions were too difficult
931,The exam was fair and well structured
932,Paper was moderate
933,Paper was moderate
934,Time was insufficient
935,Excellent exam pattern
936,Overall good experience
937,Very satisfied with the exam
938,The exam was fair and well structured
939,The exam was fair and well structured
940,The exam was fair and well structured
941,Overall good experience
942,Excellent exam pattern
943,Paper was moderate
944,Excellent exam pattern
945,Overall good experience
946,Overall good experience
947,Paper was moderate
948,Average experience
949,Excellent exam pattern
950,Overall good experience
951,Excellent exam pattern
952,The exam was fair and well structured
953,Poor time management required
954,Paper was moderate
955,Average experience
956,Excellent exam pattern
957,Excellent exam pattern
958,Questions were too difficult
959,Poor time management required
960,Excellent exam pattern
961,Time was insufficient
962,Poor time management required
963,Time was insufficient
964,Overall good experience
965,Not happy with difficulty level
966,Very satisfied with the exam
967,Very satisfied with the exam
968,Not happy with difficulty level
969,Paper was moderate
970,Paper was moderate
971,Not happy with difficulty level
972,Time was insufficient
973,Not happy with difficulty level
974,Poor time management required
975,Very satisfied with the exam
976,Paper was moderate
977,Questions were too difficult
978,Overall good experience
979,Excellent exam pattern
980,Not happy with difficulty level
981,Time was insufficient
982,Paper was moderate
983,Average experience
984,Very satisfied with the exam
985,Questions were too difficult
986,Questions were too difficult
987,Not happy with difficulty level
988,Paper was moderate
989,Paper was moderate
990,Average experience
991,Questions were too difficult
992,The exam was fair and well structured
993,Excellent exam pattern
994,Overall good experience
995,Average experience
996,Paper was moderate
997,Time was insufficient
998,Overall good experience
999,Very satisfied with the exam
1000,Paper was moderate
1001,The exam was fair and well structured
1002,Questions were too difficult
1003,Overall good experience
1004,Paper was moderate
1005,Overall good experience
1006,Paper was moderate
1007,Not happy with difficulty level
1008,Paper was moderate
1009,Overall good experience
1010,Paper was moderate
1011,The exam was fair and well structured
1012,Overall good experience
1013,Very satisfied with the exam
1014,Overall good experience
1015,Excellent exam pattern
1016,Excellent exam pattern
1017,Poor time management required
1018,Average experience
1019,Excellent exam pattern
1020,Not happy with difficulty level
1021,Excellent exam pattern
1022,Poor time management required
1023,Not happy with difficulty level
1024,Excellent exam pattern
1025,Paper was moderate
1026,Excellent exam pattern
1027,Not happy with difficulty level
1028,Poor time management required
1029,The exam was fair and well structured
1030,Not happy with difficulty level
1031,Questions were too difficult
1032,Overall good experience
1033,Excellent exam pattern
1034,Poor time management required
1035,The exam was fair and well structured
1036,Paper was moderate
1037,Paper was moderate
1038,The exam was fair and well structured
1039,Poor time management required
1040,Paper was moderate
1041,Very satisfied with the exam
1042,Average experience
1043,Not happy with difficulty level
1044,Time was insufficient
1045,The exam was fair and well structured
1046,Average experience
1047,Excellent exam pattern
1048,Overall good experience
1049,Overall good experience
1050,Time was insufficient
1051,Time was insufficient
1052,Average experience
1053,Excellent exam pattern
1054,Overall good experience
1055,Excellent exam pattern
1056,Not happy with difficulty level
1057,Average experience
1058,Poor time management required
1059,Time was insufficient
1060,Very satisfied with the exam
1061,Paper was moderate
1062,Excellent exam pattern
1063,Very satisfied with the exam
1064,Very satisfied with the exam
1065,Excellent exam pattern
1066,Very satisfied with the exam
1067,Excellent exam pattern
1068,Excellent exam pattern
1069,Very satisfied with the exam
1070,Average experience
1071,Excellent exam pattern
1072,Not happy with difficulty level
1073,Paper was moderate
1074,The exam was fair and well structured
1075,Not happy with difficulty level
1076,Average experience
1077,Average experience
1078,Poor time management required
1079,Poor time management required
1080,Overall good experience
1081,The exam was fair and well structured
1082,Not happy with difficulty level
1083,Poor time management required
1084,Questions were too difficult
1085,Questions were too difficult
1086,Questions were too difficult
1087,Overall good experience
1088,Poor time management required
1089,Paper was moderate
1090,The exam was fair and well structured
1091,Time was insufficient
1092,Poor time management required
1093,Poor time management required
1094,Questions were too difficult
1095,Poor time management required
1096,Average experience
1097,Questions were too difficult
1098,Paper was moderate
1099,Poor time management required
1100,Average experience
1101,Overall good experience
1102,Questions were too difficult
1103,Not happy with difficulty level
1104,Overall good experience
1105,Paper was moderate
1106,Average experience
1107,Overall good experience
1108,Very satisfied with the exam
1109,Paper was moderate
1110,Overall good experience
1111,Very satisfied with the exam
1112,Paper was moderate
1113,The exam was fair and well structured
1114,Average experience
1115,Not happy with difficulty level
1116,Excellent exam pattern
1117,Excellent exam pattern
1118,Very satisfied with the exam
1119,Not happy with difficulty level
1120,Not happy with difficulty level
1121,Excellent exam pattern
1122,The exam was fair and well structured
1123,Excellent exam pattern
1124,Time was insufficient
1125,Poor time management required
1126,Time was insufficient
1127,Questions were too difficult
1128,Paper was moderate
1129,Poor time management required
1130,Overall good experience
1131,Paper was moderate
1132,Questions were too difficult
1133,Poor time management required
1134,Time was insufficient
1135,Excellent exam pattern
1136,The exam was fair and well structured
1137,Poor time management required
1138,Poor time management required
1139,Poor time management required
1140,Time was insufficient
1141,Overall good experience
1142,Paper was moderate
1143,Poor time management required
1144,Very satisfied with the exam
1145,Not happy with difficulty level
1146,Paper was moderate
1147,Questions were too difficult
1148,Questions were too difficult
1149,Time was insufficient
1150,Excellent exam pattern
1151,Time was insufficient
1152,Questions were too difficult
1153,Paper was moderate
1154,Time was insufficient
1155,Poor time management required
1156,Very satisfied with the exam
1157,Time was insufficient
1158,Paper was moderate
1159,Not happy with difficulty level
1160,Paper was moderate
1161,Not happy with difficulty level
1162,Excellent exam pattern
1163,Overall good experience
1164,Very satisfied with the exam
1165,Very satisfied with the exam
1166,Poor time management required
1167,Excellent exam pattern
1168,Questions were too difficult
1169,Time was insufficient
1170,Questions were too difficult
1171,Very satisfied with the exam
1172,Time was insufficient
1173,Time was insufficient
1174,The exam was fair and well structured
1175,Not happy with difficulty level
1176,The exam was fair and well structured
1177,Excellent exam pattern
1178,The exam was fair and well structured
1179,Paper was moderate
1180,Excellent exam pattern
1181,Excellent exam pattern
1182,The exam was fair and well structured
1183,Excellent exam pattern
1184,Time was insufficient
1185,Not happy with difficulty level
1186,The exam was fair and well structured
1187,Very satisfied with the exam
1188,Overall good experience
1189,Overall good experience
1190,Time was insufficient
1191,Very satisfied with the exam
1192,Overall good experience
1193,Very satisfied with the exam
1194,Not happy with difficulty level
1195,Excellent exam pattern
1196,Questions were too difficult
1197,Time was insufficient
1198,Paper was moderate
1199,Poor time management required
1200,Not happy with difficulty level
1201,Excellent exam pattern
1202,Very satisfied with the exam
1203,Very satisfied with the exam
1204,Overall good experience
1205,Not happy with difficulty level
1206,Excellent exam pattern
1207,Poor time management required
1208,Overall good experience
1209,Poor time management required
1210,Very satisfied with the exam
1211,Poor time management required
1212,Average experience
1213,Not happy with difficulty level
1214,Average experience
1215,Excellent exam pattern
1216,Average experience
1217,Time was insufficient
1218,Very satisfied with the exam
1219,Paper was moderate
1220,Very satisfied with the exam
1221,Excellent exam pattern
1222,The exam was fair and well structured
1223,Poor time management required
1224,Questions were too difficult
1225,Poor time management required
1226,Paper was moderate
1227,Time was insufficient
1228,Poor time management required
1229,Overall good experience
1230,Not happy with difficulty level
1231,Questions were too difficult
1232,Poor time management required
1233,Questions were too difficult
1234,Time was insufficient
1235,Average experience
1236,Very satisfied with the exam
1237,Very satisfied with the exam
1238,Very satisfied with the exam
1239,Questions were too difficult
1240,Very satisfied with the exam
1241,Overall good experience
1242,Paper was moderate
1243,Not happy with difficulty level
1244,Average experience
1245,Time was insufficient
1246,Average experience
1247,Not happy with difficulty level
1248,Excellent exam pattern
1249,Very satisfied with the exam
1250,The exam was fair and well structured
1251,Excellent exam pattern
1252,Questions were too difficult
1253,Average experience
1254,Poor time management required
1255,Excellent exam pattern
1256,Average experience
1257,Poor time management required
1258,Overall good experience
1259,Excellent exam pattern
1260,Paper was moderate
1261,Questions were too difficult
1262,Not happy with difficulty level
1263,The exam was fair and well structured
1264,Not happy with difficulty level
1265,Not happy with difficulty level
1266,The exam was fair and well structured
1267,Average experience
1268,Not happy with difficulty level
1269,Average experience
1270,Overall good experience
1271,Overall good experience
1272,Very satisfied with the exam
1273,Excellent exam pattern
1274,The exam was fair and well structured
1275,Questions were too difficult
1276,Very satisfied with the exam
1277,Time was insufficient
1278,Paper was moderate
1279,Not happy with difficulty level
1280,Not happy with difficulty level
1281,The exam was fair and well structured
1282,Overall good experience
1283,Not happy with difficulty level
1284,Questions were too difficult
1285,Paper was moderate
1286,Not happy with difficulty level
